createdDateTime,currency,language,department,version,printCode,impMethod,LTMCharge,priceDependence,logoSizeCm2,itemCodeId,amountColorsId,amountSetupChargeId,SetupCharge,decoPrice,decoPriceFromQty
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DEB02,Blinddruk,0,None,0,DCDEB021,1,1,45,0.46,10000
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DEB02,Blinddruk,0,None,0,DCDEB021,1,1,45,0.45,20000
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DEB03,Blinddruk,0,None,0,DCDEB031,1,1,45,3.11,1
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DEB03,Blinddruk,0,None,0,DCDEB031,1,1,45,2.23,50
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DEB03,Blinddruk,0,None,0,DCDEB031,1,1,45,1.51,100
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DEB03,Blinddruk,0,None,0,DCDEB031,1,1,45,1.17,250
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DEB03,Blinddruk,0,None,0,DCDEB031,1,1,45,0.94,500
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DEB03,Blinddruk,0,None,0,DCDEB031,1,1,45,0.9,1000
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DEB03,Blinddruk,0,None,0,DCDEB031,1,1,45,0.83,2500
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DEB03,Blinddruk,0,None,0,DCDEB031,1,1,45,0.82,5000
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DEB03,Blinddruk,0,None,0,DCDEB031,1,1,45,0.81,10000
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DEB03,Blinddruk,0,None,0,DCDEB031,1,1,45,0.77,20000
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DEB04,Blinddruk,0,None,0,DCDEB041,1,1,45,3.46,1
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DEB04,Blinddruk,0,None,0,DCDEB041,1,1,45,2.52,50
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DEB04,Blinddruk,0,None,0,DCDEB041,1,1,45,1.73,100
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DEB04,Blinddruk,0,None,0,DCDEB041,1,1,45,1.38,250
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DEB04,Blinddruk,0,None,0,DCDEB041,1,1,45,1.14,500
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DEB04,Blinddruk,0,None,0,DCDEB041,1,1,45,1.09,1000
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DEB04,Blinddruk,0,None,0,DCDEB041,1,1,45,1,2500
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DEB04,Blinddruk,0,None,0,DCDEB041,1,1,45,1,5000
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DEB04,Blinddruk,0,None,0,DCDEB041,1,1,45,0.99,10000
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DEB04,Blinddruk,0,None,0,DCDEB041,1,1,45,0.94,20000
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DEB05,Blinddruk,0,None,0,DCDEB051,1,1,45,4.84,1
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DEB05,Blinddruk,0,None,0,DCDEB051,1,1,45,3.76,50
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DEB05,Blinddruk,0,None,0,DCDEB051,1,1,45,2.82,100
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DEB05,Blinddruk,0,None,0,DCDEB051,1,1,45,2.38,250
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DEB05,Blinddruk,0,None,0,DCDEB051,1,1,45,2.06,500
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DEB05,Blinddruk,0,None,0,DCDEB051,1,1,45,2,1000
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DEB05,Blinddruk,0,None,0,DCDEB051,1,1,45,1.82,2500
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DEB05,Blinddruk,0,None,0,DCDEB051,1,1,45,1.82,5000
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DEB05,Blinddruk,0,None,0,DCDEB051,1,1,45,1.76,10000
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DEB05,Blinddruk,0,None,0,DCDEB051,1,1,45,1.69,20000
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DHTS01,Digitale hot stamping,0,None,0,DCDHTS11,Full color,1,30,0.95,1
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DHTS01,Digitale hot stamping,0,None,0,DCDHTS11,Full color,1,30,0.89,50
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DHTS01,Digitale hot stamping,0,None,0,DCDHTS11,Full color,1,30,0.81,100
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DHTS01,Digitale hot stamping,0,None,0,DCDHTS11,Full color,1,30,0.77,250
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DHTS01,Digitale hot stamping,0,None,0,DCDHTS11,Full color,1,30,0.63,500
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DHTS01,Digitale hot stamping,0,None,0,DCDHTS11,Full color,1,30,0.61,1000
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DHTS01,Digitale hot stamping,0,None,0,DCDHTS11,Full color,1,30,0.59,2500
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DHTS01,Digitale hot stamping,0,None,0,DCDHTS11,Full color,1,30,0.58,5000
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DHTS01,Digitale hot stamping,0,None,0,DCDHTS11,Full color,1,30,0.55,10000
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DHTS01,Digitale hot stamping,0,None,0,DCDHTS11,Full color,1,30,0.53,20000
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DOM001,Doming,0,None,0,DCDO1101,Full color,1,35,1.49,1
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DOM001,Doming,0,None,0,DCDO1101,Full color,1,35,0.95,50
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DOM001,Doming,0,None,0,DCDO1101,Full color,1,35,0.74,100
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DOM001,Doming,0,None,0,DCDO1101,Full color,1,35,0.68,250
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DOM001,Doming,0,None,0,DCDO1101,Full color,1,35,0.58,500
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DOM001,Doming,0,None,0,DCDO1101,Full color,1,35,0.48,1000
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DOM001,Doming,0,None,0,DCDO1101,Full color,1,35,0.42,2500
2024-01-13T04:54:56.889,EUR,NL,CNL1,V3,DOM001,Doming,0,None,0,DCDO1101,Full color,1,35,0.37,5000
